idnumber,smiles
HMDB0014542,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1
HMDB0014558,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
HMDB0014559,CC1(C)SC2C(NC(=O)C([NH3+])c3ccccc3)C(=O)N2C1C(=O)O
HMDB0014568,C[NH+]1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2
HMDB0014576,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1C(F)(F)F
HMDB0014580,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O
HMDB0014590,[NH3+]C(C(=O)NC1C(=O)N2C(C(=O)O)=C(Cl)CCC12)c1ccccc1
HMDB0014593,O=C(CCC[NH+]1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1
HMDB0014600,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC
HMDB0014604,COc1ccc2cc(CCC(C)=O)ccc2c1
HMDB0014605,C[N+]1(C)C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12
HMDB0014608,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O
HMDB0014611,C=CC1C[NH+]2CCC1CC2C(O)c1ccnc2ccc(OC)cc12
HMDB0014615,C[NH2+]CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1
HMDB0014616,CC(C[NH2+]C1CCCCC1)OC(=O)c1ccccc1
HMDB0014633,O=C1CC2(CCCC2)CC(=O)N1CCCC[NH+]1CCN(c2ncccn2)CC1
HMDB0014636,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(COC(C)=O)CSC12)c1csc(N)n1
HMDB0014638,Cc1cn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)[nH]c1=O
HMDB0014639,NC(=O)C(c1ccccc1)(c1ccccc1)C1CC[NH+](CCc2ccc3c(c2)CCO3)C1
HMDB0014641,O=C1c2ccccc2C(=O)C1c1ccccc1
HMDB0014643,Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1
HMDB0014645,O=C(CCC[NH+]1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
HMDB0014649,CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1
HMDB0014660,CCOC(=O)C(CCc1ccccc1)[NH2+]C(C)C(=O)N1C(C(=O)O)CC2CCCCC21
HMDB0014662,CC(C)(C)[NH2+]CC(O)COc1cccc2c1CCC(=O)N2
HMDB0014663,O=C(O)c1ccc(NC(=O)C(Cc2ccc(O)cc2)NC(=O)c2ccccc2)cc1
HMDB0014668,CCCCOc1cc(C(=O)NCC[NH+](CC)CC)c2ccccc2n1
HMDB0014682,CCOC(=O)C(CCc1ccccc1)[NH2+]C1CCc2ccccc2N(CC(=O)O)C1=O
HMDB0014693,COc1c2occc2cc2ccc(=O)oc12
HMDB0014704,NC(=O)N1c2ccccc2C=Cc2ccccc21
HMDB0014713,CC(C(=O)O)c1cccc(Oc2ccccc2)c1
HMDB0014715,Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1
HMDB0014722,CCOC(=O)C(CCc1ccccc1)[NH2+]C(C)C(=O)N1CCCC1C(=O)O
HMDB0014724,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl
HMDB0014728,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC
HMDB0014736,CC(CCc1ccccc1)[NH2+]CC(O)c1ccc(O)c(C(N)=O)c1
HMDB0014742,COc1cc(N)c(Cl)cc1C(=O)NC1CC[NH+](CCCOc2ccc(F)cc2)CC1OC
HMDB0014745,CCOc1ccc2ccccc2c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O
HMDB0014757,Cc1ccc(NC(=O)c2ccc(C[NH+]3CC[NH+](C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
HMDB0014760,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC[NH+](C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1
HMDB0014771,Cc1cccc(C(C)c2c[nH]c[nH+]2)c1C
HMDB0014792,CC(C)OC(=O)CCCC=CCC1C(O)CC(O)C1CCC(O)CCc1ccccc1
HMDB0014794,O=c1n(CCC[NH+]2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12
HMDB0014798,Cc1cc(C)cc(OCC2CNC(=O)O2)c1
HMDB0014803,CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O
HMDB0014814,O=C(OCc1ccccc1)c1ccccc1
HMDB0014826,COc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)OCC[NH+]1CCOCC1)C(=O)OC2
HMDB0014827,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)C([NH3+])c3ccccc3)C2SC1
HMDB0014829,CCOC(=O)C(CCc1ccccc1)[NH2+]C(C)C(=O)N1Cc2cc(OC)c(OC)cc2CC1C(=O)O
HMDB0014837,COC12CC(COC(=O)c3cncc(Br)c3)C[NH+](C)C1Cc1cn(C)c3cccc2c13
HMDB0014851,Cc1onc(-c2ccccc2)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O
HMDB0014853,Fc1ccc(C2CC[NH2+]CC2COc2ccc3c(c2)OCO3)cc1
HMDB0014862,CC(C)Cn1cnc2c(N)nc3ccccc3c21
HMDB0014869,CC(C)C1CCC(C(=O)NC(Cc2ccccc2)C(=O)O)CC1
HMDB0014883,NC(=O)CS(=O)C(c1ccccc1)c1ccccc1
HMDB0014887,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3
HMDB0014892,CCN1C(=O)NC(c2ccccc2)C1=O
HMDB0014895,O=C(OC1CC2CC3CC(C1)[NH+]2CC3=O)c1c[nH]c2ccccc12
HMDB0014914,NC(=O)N1c2ccccc2CC(=O)c2ccccc21
HMDB0014917,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21
HMDB0014920,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C
HMDB0014933,O=C(O)c1cc(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O
HMDB0014938,Oc1ccc(C2C[NH2+]CCc3c2cc(O)c(O)c3Cl)cc1
HMDB0014943,Cc1cc(-c2ccccc2)nnc1NCC[NH+]1CCOCC1
HMDB0014946,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1
HMDB0014951,CCC(=O)N(c1ccccc1)C1CC[NH+](CCc2ccccc2)CC1
HMDB0014955,CCn1cc(C(=O)O)c(=O)c2ccc(-c3ccncc3)cc21
